Street.Name,lon,lat
TAMPINES AVE 5,103.9414861,1.3503018
TOA PAYOH EAST,103.8573472,1.3342046
CIRCUIT RD,103.8883199,1.3263918
LOR 6 TOA PAYOH,103.8534021,1.3380639
TAMPINES CTRL 7,103.9400907,1.3581378
WOODLANDS ST 13,103.7775041,1.4349471
TELOK BLANGAH CRES,103.820226,1.2770566
LOR 5 TOA PAYOH,103.8527387,1.3365164
LOR LEW LIAN,103.8772944,1.3500706
MARSILING LANE,103.775801,1.4450726
LOWER DELTA RD,103.8238238,1.2806145
ANG MO KIO AVE 8,103.8486932,1.3707675
BOON LAY AVE,103.7103715,1.3470152
HO CHING RD,103.7240884,1.3344034
MARSILING DR,103.7750429,1.4422643
ANG MO KIO AVE 4,103.839342,1.3762852
LOR 4 TOA PAYOH,103.8507769,1.3355859
MARINE TER,103.9153203,1.3050614
MARSILING CRES,103.7749047,1.4481551
BOON LAY PL,103.7128869,1.3468732
LOR 1 TOA PAYOH,103.8481821,1.3397621
CHANGI VILLAGE RD,103.9874016,1.3846035
BEDOK NTH AVE 2,103.9306035,1.3306131
JLN BT MERAH,103.8193837,1.2835701
LOR 7 TOA PAYOH,103.856379,1.3373747
LOR 2 TOA PAYOH,103.8462992,1.3360505
BOON LAY DR,103.712868,1.3438613
C'WEALTH CL,103.7983862,1.3024191
KIM KEAT AVE,103.8580209,1.3332088
C'WEALTH DR,103.7983862,1.3024191
C'WEALTH CRES,103.7983862,1.3024191
ANG MO KIO AVE 3,103.8572732,1.3690195
JLN BAHAGIA,103.858069,1.327168
BALAM RD,103.8865832,1.3298887
JLN BATU,103.8833749,1.3029391
HAVELOCK RD,103.8359745,1.2890035
YUAN CHING RD,103.7250768,1.3351474
BEDOK NTH ST 2,103.9372078,1.3286351
TAO CHING RD,103.7240581,1.332941
YISHUN AVE 11,103.8447187,1.424577
UPP ALJUNIED LANE,103.8795896,1.3342403
MACPHERSON LANE,103.8851893,1.3319149
TELOK BLANGAH DR,103.807824,1.2729361
JLN BT HO SWEE,103.8296988,1.2873866
HOUGANG AVE 3,103.8908706,1.3527672
SEMBAWANG DR,103.8168923,1.4525413
RIVERVALE CRES,103.9074777,1.391581
BEO CRES,103.8270425,1.2891612
STIRLING RD,103.8043998,1.295345
TEBAN GDNS RD,103.7416108,1.3219153
BEDOK NTH AVE 4,103.9294412,1.3257849
SENJA RD,103.7619062,1.38666
BENDEMEER RD,103.8652909,1.3207154
TELOK BLANGAH RISE,103.8212924,1.2727546
MARSILING RISE,103.7811348,1.4393379
LOR 8 TOA PAYOH,103.8564707,1.3397838
BEDOK NTH ST 3,103.9275759,1.3332472
BUANGKOK GREEN,103.8826989,1.3793342
MONTREAL LINK,103.8269458,1.4506809
WELLINGTON CIRCLE,103.8220532,1.4527365
JURONG WEST ST 93,103.6930683,1.3381307
TOA PAYOH NTH,103.8493198,1.3416825
ALJUNIED CRES,103.8856818,1.3202748
TECK WHYE CRES,103.7528938,1.3826387
WOODLANDS CRES,103.8024146,1.4468524
ANG MO KIO AVE 10,103.8565486,1.3667607
HOY FATT RD,103.8118869,1.2881187
JLN KUKOH,103.8397507,1.2879319
JLN KLINIK,103.8288073,1.2876274
BEACH RD,103.8592765,1.299508
PAYA LEBAR WAY,103.8835345,1.3227992
YISHUN AVE 5,103.8308862,1.430447
JURONG EAST ST 32,103.7338564,1.3470214
