"","unique_project_names","latitudes","longitudes"
"1","ADAM PARK CONDOMINIUM","1.3277208","103.8137526"
"2","LIV ON SOPHIA","1.3011037","103.8480048"
"3","PARC SOPHIA","1.3014772","103.847596"
"4","CASA FORTUNA","1.3285661","103.848136"
"5","NADIA MANSIONS","1.3280527","103.848097"
"6","THE BELLEFORTE","1.3272372","103.8451504"
"7","PAVILION 11","1.3246019","103.8484352"
"8","ZEDGE","1.352083","103.819836"
"9","ONE AKYAB","1.3226018","103.8478268"
"10","ALESSANDREA","1.2905839","103.8224665"
"11","ALEXIS","1.2913174","103.8074006"
"12","THE ANCHORAGE","1.289459","103.8050655"
"13","ASCENTIA SKY","1.2908119","103.8170081"
"14","THE METROPOLITAN CONDOMINIUM","1.2907192","103.8164014"
"15","ECHELON","1.2907661","103.8180961"
"16","ALEX RESIDENCES","1.2904764","103.8189484"
"17","AVANT RESIDENCES","1.3136393","103.8823463"
"18","THE ESTA","1.3021857","103.8998682"
"19","KING'S MANSION","1.3006745","103.8983498"
"20","ONE AMBER","1.3016189","103.8982224"
"21","VERTIS","1.3015563","103.8999346"
"22","THE SEA VIEW","1.3013508","103.9014451"
"23","THE SHORE RESIDENCES","1.3027632","103.9015379"
"24","THE ARISTO @ AMBER","1.3002928","103.9008252"
"25","AMBER POINT","1.2988384","103.898488"
"26","AMBER SKYE","1.2995828","103.8980682"
"27","THE CAPE","1.3006884","103.9013291"
"28","AMBER 45","1.3024781","103.9015471"
"29","SUITES @ AMBER","1.3002503","103.9001722"
"30","AMBER RESIDENCES","1.3010299","103.9006636"
"31","16 @ AMBER","1.2996208","103.8987921"
"32","NYON","1.299569","103.8985672"
"33","SEAVIEW POINT","1.2995964","103.8998661"
"34","11 AMBER ROAD","1.299146","103.899208"
"35","ROYALGREEN","1.3316431","103.7941736"
"36","TREASURE CREST","1.3989315","103.8922361"
"37","THE VALES","1.3971651","103.8939328"
"38","BELLEWATERS","1.3993024","103.8910415"
