Address,lon,lat
"ZEPHYR PARK, SEA BREEZE ROAD, Singapore",103.9519879,1.3369547
"YUNNAN GARDENS, YUNNAN CRESCENT, Singapore",103.691259,1.3381033
"YUNNAN GARDENS, YUNNAN WALK 3, Singapore",103.691259,1.3381033
"YUNNAN GARDENS, YUNNAN DRIVE 1, Singapore",103.691259,1.3381033
"YUNNAN GARDENS, YUNNAN WALK 1, Singapore",103.691259,1.3381033
"YUGI GARDEN, JALAN CHEMPAKA KUNING, Singapore",103.9495504,1.3310711
"YONG SENG ESTATE, JALAN SENANG, Singapore",103.916852,1.325648
"YONG SENG ESTATE, JALAN PARAS, Singapore",103.916852,1.325648
"YIO CHU KANG TERRACE, YIO CHU KANG TERRACE, Singapore",103.8748206,1.358503
"YEW LIAN PARK, TAMAN PERMATA, Singapore",103.8340825,1.3508362
"YEW LIAN PARK, JALAN PELATINA, Singapore",103.8340825,1.3508362
"WOOLLERTON PARK, WOOLLERTON PARK, Singapore",103.8094563,1.3179816
"WOOLLERTON PARK, WOOLLERTON DRIVE, Singapore",103.8094563,1.3179816
"WOODLANDS PARK, JALAN KASAU, Singapore",103.7591395,1.4176884
"WOODLANDS PARK, JALAN JENDELA, Singapore",103.7583865,1.4154112
"WOODLANDS PARK, JALAN BUMBONG, Singapore",103.7573473,1.4149557
"WOODLANDS PARK, JALAN GELEGAR, Singapore",103.7588184,1.4168228
"WOODLANDS PARK, JALAN DINDING, Singapore",103.7572824,1.4159415
"WOODGROVE ESTATE, CEDARWOOD GROVE, Singapore",103.7788724,1.4286704
"WOODGROVE ESTATE, ASHWOOD GROVE, Singapore",103.7788724,1.4286704
"WOODGROVE ESTATE, WOODGROVE AVENUE, Singapore",103.7788724,1.4286704
"WINDSOR PARK ESTATE, WINDSOR PARK ROAD, Singapore",103.819836,1.352083
"WINDSOR PARK ESTATE, LEO DRIVE, Singapore",103.819836,1.352083
"WINDSOR PARK ESTATE, VENUS ROAD, Singapore",103.819836,1.352083
"WINDSOR PARK, WINDSOR PARK ROAD, Singapore",103.8256961,1.3573826
"WINDSOR PARK, JUPITER ROAD, Singapore",103.8272077,1.3578082
"WIMBORNE VILLAS, WIMBORNE ROAD, Singapore",103.8864058,1.3055143
"WHITLEYVILLE, WHITLEY ROAD, Singapore",103.819836,1.352083
"WHITE HOUSE PARK, WHITE HOUSE PARK, Singapore",103.8224927,1.3160197
"WESTWOOD PARK, WESTWOOD DRIVE, Singapore",103.819836,1.352083
"WESTWOOD PARK, WESTWOOD CRESCENT, Singapore",103.6999381,1.3528618
"WESTWOOD PARK, WESTWOOD AVENUE, Singapore",103.6990227,1.3511997
"WESTVILLE, WESTWOOD TERRACE, Singapore",103.6976977,1.3537962
"WESTVILLE, WESTWOOD CRESCENT, Singapore",103.6999381,1.3528618
"WESTVILLE, WESTWOOD AVENUE, Singapore",103.6989259,1.3520794
"WESTVILLE, WESTWOOD WALK, Singapore",103.6989259,1.3520794
"WESTVILLE, WESTWOOD ROAD, Singapore",103.6993892,1.351339
"WESTRIDGE, WESTRIDGE WALK, Singapore",103.7902098,1.2775462
"WESTPEAK TERRACE, WEST COAST WALK, Singapore",103.7619656,1.3100897
"WESTLAKE GARDENS, WESTLAKE AVENUE, Singapore",103.837251,1.345045
"WEST SEA GARDENS, JALAN PELEPAH, Singapore",103.7977918,1.2758223
"WEST POINT PEARL GARDEN, WEST COAST ROAD, Singapore",103.819836,1.352083
"WEST COAST VIEW, WEST COAST VIEW, Singapore",103.7666629,1.2947893
"WEST COAST GARDENS, WEST COAST DRIVE, Singapore",103.7545598,1.3150363
"WEST COAST GARDENS, WEST COAST GROVE, Singapore",103.7545598,1.3150363
"WEST COAST GARDENS, WEST COAST TERRACE, Singapore",103.7545598,1.3150363
"WEST COAST GARDENS, WEST COAST LANE, Singapore",103.7590349,1.31298
"WEST COAST GARDENS, WEST COAST PLACE, Singapore",103.758632,1.3135127
