"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"121244",121244,121244,"SIMEI GREEN CONDOMINIUM, SIMEI STREET 4, Singapore","SIMEI GREEN CONDOMINIUM","SIMEI STREET 4",93710,955000,"2021-03-01","Strata",116,8233,"Executive Condominium",18,"Outside Central Region","06 to 10","Executive Condo",3,0,2,1,1,1996,71,"900k-1m","70-100",103.9579962,1.3410498,"East"
"15289",15289,15289,"Block 154, RIVERVALE CRES, Singapore","HDB","RIVERVALE CRES",39766,502000,"2023-10-01","Non",90,5577.777778,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2005,81.16666667,"500k-600k","70-100",103.9074777,1.391581,"North"
"115839",115839,115839,"PRIVE, PUNGGOL FIELD, Singapore","PRIVE","PUNGGOL FIELD",94959,1875000,"2023-10-01","Strata",134,13993,"Executive Condominium",19,"Outside Central Region","11 to 15","Executive Condo",3,0,2,1,1,2010,85,"1.5m-2m","70-100",103.905639,1.399453,"North"
"100164",100164,100164,"GENTLE VILLAS, GENTLE DRIVE, Singapore","GENTLE VILLAS","GENTLE DRIVE",92183,3500000,"2024-03-01","Land",204.3,17132,"Semi-Detached House",11,"Core Central Region","-","Landed",5,0,3,1,1,1993,68,"3m-4m","50-70",103.8409008,1.3201378,"Central"
"92488",92488,92488,"CASA CAMBIO, LIM TUA TOW ROAD, Singapore","CASA CAMBIO","LIM TUA TOW ROAD",122303,998000,"2024-01-01","Strata",60,16633,"Condominium",19,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"900k-1m",NA,103.876323,1.3539255,"East"
"61298",61298,61298,"Block 521, BEDOK NTH AVE 1, Singapore","HDB","BEDOK NTH AVE 1",16510,393000,"2024-01-01","Non",67,5865.671642,"New Generation HDB",16,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1979,54.58333333,"300k-400k","50-70",103.9267275,1.3283757,"East"
"27276",27276,27276,"Block 234, PASIR RIS DR 4, Singapore","HDB","PASIR RIS DR 4",44454,525000,"2021-10-01","Non",128,4101.5625,"Improved HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1993,70.83333333,"500k-600k","70-100",103.9609009,1.3735869,"East"
"32251",32251,32251,"Block 275C, COMPASSVALE LINK, Singapore","HDB","COMPASSVALE LINK",72433,7e+05,"2023-06-01","Non",90,7777.777778,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2009,85,"700k-800k","70-100",103.8951903,1.3835873,"East"
"83882",83882,83882,"Block 811A, CHOA CHU KANG AVE 7, Singapore","HDB","CHOA CHU KANG AVE 7",14690,381314.19,"2021-07-01","Non",68,5607.561618,"Model A HDB",23,"Outside Central Region","11 to 15","Public Housing",3,0,1,1,1,2017,95.41666667,"300k-400k","70-100",103.7466605,1.3749472,"West"
"94491",94491,94491,"CLYDES RESIDENCE, MERGUI ROAD, Singapore","CLYDES RESIDENCE","MERGUI ROAD",137855,1300000,"2021-09-01","Strata",95,13684,"Apartment",8,"Rest of Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,NA,NA,"1.25m-1.5m",NA,103.8521966,1.3172798,"East"
